x#1$L1$E64                                          1 	(obj:-1)
x#1$L2$E65                                          1 	(obj:-1)
x#1$L3$E61                                          1 	(obj:-1)
x#1$L4$E56                                          1 	(obj:-1)
x#1$L5$E58                                          1 	(obj:-1)
x#2$L1$E934                                         1 	(obj:-1)
x#2$L2$E948                                         1 	(obj:-1)
x#2$L3$E924                                         1 	(obj:-1)
x#2$L4$E944                                         1 	(obj:-1)
x#2$L5$E935                                         1 	(obj:-1)
x#3$L1$E950                                         1 	(obj:-1)
x#3$L2$E938                                         1 	(obj:-1)
x#3$L3$E937                                         1 	(obj:-1)
x#3$L4$E768                                         1 	(obj:-1)
x#3$L5$E59                                          1 	(obj:-1)
x#4$L1$E51                                          1 	(obj:-1)
x#4$L2$E57                                          1 	(obj:-1)
x#4$L3$E947                                         1 	(obj:-1)
x#4$L4$E934                                         1 	(obj:-1)
x#4$L5$E949                                         1 	(obj:-1)
x#5$L1$E58                                          1 	(obj:-0.5)
x#5$L2$E936                                         1 	(obj:-0.5)
x#5$L3$E941                                         1 	(obj:-0.5)
x#5$L4$E933                                         1 	(obj:-0.5)
x#5$L5$E88                                          1 	(obj:-0.5)
x#6$L1$E63                                          1 	(obj:-0.333333333333333)
x#6$L2$E60                                          1 	(obj:-0.333333333333333)
x#6$L3$E53                                          1 	(obj:-0.333333333333333)
x#6$L4$E70                                          1 	(obj:-0.333333333333333)
x#6$L5$E51                                          1 	(obj:-0.333333333333333)
x#7$L1$E947                                         1 	(obj:-0.25)
x#7$L2$E930                                         1 	(obj:-0.25)
x#7$L3$E939                                         1 	(obj:-0.25)
x#7$L4$E926                                         1 	(obj:-0.25)
x#7$L5$E932                                         1 	(obj:-0.25)
x#8$L1$E931                                         1 	(obj:-0.2)
x#8$L2$E926                                         1 	(obj:-0.2)
x#8$L3$E579                                         1 	(obj:-0.2)
x#8$L4$E71                                          1 	(obj:-0.2)
x#8$L5$E77                                          1 	(obj:-0.2)
x#9$L1$E926                                         1 	(obj:-0.166666666666667)
x#9$L2$E920                                         1 	(obj:-0.166666666666667)
x#9$L3$E427                                         1 	(obj:-0.166666666666667)
x#9$L4$E73                                          1 	(obj:-0.166666666666667)
x#9$L5$E84                                          1 	(obj:-0.166666666666667)
x#10$L1$E921                                        1 	(obj:-0.142857142857143)
x#10$L2$E908                                        1 	(obj:-0.142857142857143)
x#10$L3$E581                                        1 	(obj:-0.142857142857143)
x#10$L4$E81                                         1 	(obj:-0.142857142857143)
x#10$L5$E91                                         1 	(obj:-0.142857142857143)
x#11$L1$E920                                        1 	(obj:-0.125)
x#11$L2$E263                                        1 	(obj:-0.125)
x#11$L3$E54                                         1 	(obj:-0.125)
x#11$L4$E901                                        1 	(obj:-0.125)
x#11$L5$E97                                         1 	(obj:-0.125)
x#12$L1$E918                                        1 	(obj:-0.111111111111111)
x#12$L2$E276                                        1 	(obj:-0.111111111111111)
x#12$L3$E56                                         1 	(obj:-0.111111111111111)
x#12$L4$E888                                        1 	(obj:-0.111111111111111)
